11/25/2015,15,15,15,15,750
11/30/2015,15,15,15,15,1000
12/01/2015,12,12,12,12,1000
08/12/2016,12,12,12,12,750
02/21/2017,15,15,15,15,8250
03/03/2017,14.775,18,14.775,18,11000
03/06/2017,9,9,9,9,7000
03/23/2017,6.6,6.6,6.6,6.6,2500
04/20/2017,3.03,3.3,3.03,3.3,10000
04/25/2017,6,6,6,6,100
05/12/2017,6,6,6,6,5000
05/17/2017,3,3,2.997,2.997,69050
05/23/2017,1.8,1.8,1.8,1.8,87750
06/19/2017,2.1,2.1,1.5,1.5,1030
06/29/2017,1.2,1.25,1,1,2896
07/05/2017,0.75,0.75,0.75,0.75,7412
07/10/2017,0.51,0.51,0.51,0.51,2000
07/12/2017,0.46,0.46,0.46,0.46,800
07/27/2017,0.1,0.1,0.1,0.1,734
08/03/2017,0.1,0.1,0.1,0.1,250
08/17/2017,0.1,0.1,0.05,0.05,49836
03/01/2018,0.5099,2,0.4603,1.1,7137
03/02/2018,1.1,1.8,1.1,1.8,950
03/05/2018,1.8,1.95,1.8,1.95,570
03/06/2018,2,4.5,2,3,2326
03/07/2018,1.55,1.6,1.1,1.1,530
03/08/2018,1.1,2.75,1.1,1.2,2040
03/09/2018,1.5,1.55,1.01,1.2,4645
03/12/2018,1.5,2,1.35,2,620
03/13/2018,1.75,1.75,1.75,1.75,310
03/19/2018,1.05,1.05,1,1,484
03/20/2018,1.2,1.2,1.2,1.2,1160
03/21/2018,1.25,1.5,1.25,1.5,339
03/22/2018,1.04,1.04,1.04,1.04,400
03/23/2018,1,1.01,1,1.01,200
03/26/2018,1.01,1.22,1.01,1.22,336
03/29/2018,1.22,1.37,1.22,1.37,400
04/02/2018,1.1,1.1,1.0999,1.0999,1000
04/03/2018,1.15,1.156,1.15,1.156,305
04/11/2018,1,1,1,1,105
04/13/2018,1,1.0001,1,1.0001,200
04/17/2018,1.2,2.01,1.185,1.25,23011
04/18/2018,1.1001,1.13,1.01,1.024,3441
04/19/2018,1.01,1.46,1.01,1.075,6800
04/20/2018,1.03,1.03,1.03,1.03,349
04/23/2018,1.03,1.03,1.03,1.03,1000
04/24/2018,1.2,1.2,1.2,1.2,700
04/25/2018,1.4,1.4,1.222,1.25,2500
05/01/2018,1.25,1.25,1.25,1.25,335
05/07/2018,1.265,1.265,1.265,1.265,100
05/09/2018,1.25,1.25,1.25,1.25,125
05/10/2018,1.25,1.25,1.25,1.25,100
05/24/2018,1.05,1.05,1.05,1.05,125
06/18/2018,1.25,1.45,1.25,1.45,2050
06/19/2018,1.45,2.25,1.1,1.472,9874
06/20/2018,1.22,1.35,1.22,1.35,490
06/22/2018,1.15,1.324,1.06,1.324,1140
06/25/2018,1.2,1.2,1.2,1.2,226
06/26/2018,1.2,1.2,1.2,1.2,274
06/28/2018,1.18,1.18,1.15,1.18,1149
06/29/2018,1.15,1.15,1.15,1.15,200
07/02/2018,1.105,1.105,1.105,1.105,100
07/11/2018,1.1,1.1,1.1,1.1,100
07/17/2018,1.2,1.2,1.2,1.2,502
07/18/2018,1.1,1.1,1.1,1.1,400
07/19/2018,1.1,1.1,1.1,1.1,200
07/20/2018,1.13,1.13,1.13,1.13,1004
08/01/2018,1.4,1.4,1.3,1.3,700
08/02/2018,1.3,1.3,1.3,1.3,300
08/07/2018,1.3,1.3,1.15,1.15,600
08/13/2018,1.421,2.14,1.421,2.14,5590
08/14/2018,2.15,2.35,1.45,1.45,3533
08/16/2018,2.4,2.4,1.29,1.29,3295
